City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
329,ryotsu,60,JP,1577562192,78,38.08,138.43,35.6,2.24
330,sawakin,12,SD,1577562192,60,19.1,37.33,75.02,11.01
331,chokurdakh,19,RU,1577562095,95,70.62,147.9,-35.25,4.94
332,sangar,58,RU,1577562192,98,63.92,127.47,-42.7,2.35
333,acapulco,40,MX,1577562029,70,16.86,-99.88,86.0,5.82
334,athabasca,67,CA,1577562192,78,54.72,-113.29,19.4,10.63
335,balabac,1,PH,1577562193,83,7.99,117.06,80.65,10.2
336,kingston,20,JM,1577562163,74,17.97,-76.79,86.0,14.99
337,dire,45,ET,1577562193,96,9.18,38.92,52.92,5.44
338,shingu,0,JP,1577561834,68,33.72,135.99,46.06,5.26
339,bereda,32,ES,1577562193,87,43.27,-7.54,48.2,5.82
340,mount gambier,6,AU,1577562113,93,-37.83,140.78,57.2,3.36
341,churapcha,93,RU,1577561813,97,62.0,132.43,-41.76,4.83
342,monrovia,40,LR,1577562193,83,6.33,-10.8,82.4,7.85
343,maine-soroa,0,NE,1577562193,16,13.21,12.02,65.01,8.12
344,novikovo,100,RU,1577562194,93,51.15,37.89,26.87,8.66
345,east london,75,ZA,1577562104,80,-33.02,27.91,69.17,17.31
346,alcudia,0,ES,1577562194,87,39.85,3.12,57.99,4.7
347,vardo,1,US,1577562194,51,39.62,-77.74,64.0,3.36
348,ancud,20,CL,1577562078,59,-41.87,-73.83,64.4,8.05
349,copiapo,61,CL,1577562194,56,-27.37,-70.33,69.8,5.82
350,port blair,6,IN,1577562106,81,11.67,92.75,79.39,12.68
351,slavyanka,86,RU,1577562194,72,42.86,131.39,16.23,4.68
352,kununurra,12,AU,1577562195,78,-15.77,128.74,80.6,6.93
353,komsomolskiy,100,RU,1577562195,93,67.55,63.78,11.57,14.43
354,victoria,75,BN,1577561856,94,5.28,115.24,82.4,10.58
355,madang,0,CN,1577561825,27,35.32,102.79,24.73,7.49
356,abnub,0,EG,1577562195,54,27.27,31.15,53.6,4.7
357,weligama,100,LK,1577562195,82,5.97,80.42,73.47,5.73
358,maceira,0,PT,1577562195,86,40.69,-7.47,57.0,5.01
359,hofn,100,IS,1577562125,91,64.25,-15.21,42.21,9.24
360,telma,0,RU,1577562195,73,52.7,103.72,-29.2,4.47
361,karachi,0,PK,1577561986,50,24.87,67.03,55.4,4.7
362,jeremie,29,HT,1577562196,78,18.65,-74.12,74.79,2.59
363,pangnirtung,20,CA,1577562196,77,66.15,-65.72,-0.4,2.24
364,anadyr,4,RU,1577562088,74,64.73,177.51,-25.01,4.47
365,pobe,0,BJ,1577562196,78,6.98,2.66,77.4,4.7
366,moorslede,40,BE,1577562196,93,50.89,3.06,42.01,3.36
367,ilulissat,40,GL,1577562085,77,69.22,-51.1,5.0,3.36
368,mazinde,100,TZ,1577562196,88,-4.81,38.21,72.99,1.05
369,sioux lookout,90,CA,1577562197,92,50.1,-91.92,15.8,2.24
370,pinheiro machado,100,BR,1577562197,68,-31.58,-53.38,80.01,8.99
371,san cristobal,5,HN,1577562128,42,14.68,-86.92,81.46,9.89
372,ust-kulom,0,RU,1577562197,98,61.69,53.69,-2.54,4.25
373,padang,100,ID,1577562123,97,-0.92,100.36,68.65,3.69
374,pisco,9,PE,1577561783,30,-13.71,-76.2,73.99,10.29
375,byron bay,75,AU,1577562117,100,-28.65,153.62,72.0,1.14
376,rabo de peixe,40,PT,1577562198,88,37.8,-25.58,66.2,23.04
377,tankhoy,100,RU,1577562198,100,51.55,105.12,-10.01,5.77
378,patna,90,IN,1577562198,100,25.61,85.12,48.2,4.7
379,verkhoyansk,0,RU,1577562198,80,67.55,133.39,-37.88,1.45
380,carrollton,90,US,1577562198,77,33.58,-85.08,68.0,10.29
381,marrakesh,0,MA,1577562198,34,31.63,-7.99,66.2,2.24
382,bisira,100,PA,1577562198,84,8.52,-81.71,72.66,8.23
